Regione	Provincia	Codice	Scuola	Dominio	Mail	Google Suite	Microsoft 365
ABRUZZO	CHIETI	CHEE03600L	C.D.GUARDIAGRELE  M.DELLA PORTA	circolodidatticoguardiagrele.edu.it	chee03600l@pec.istruzione.it	10 alt4.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHEE07200Q	C.D. VASTO NUOVA DIREZ.DID.	www.nuovadirezionedidatticavasto.edu.it	chee07200q@pec.istruzione.it	10 alt3.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIC80600P	"I.C. CASOLI  ""G. DE PETRA"""	http://www.icdepetra.edu.it	chic80600p@pec.istruzione.it		
ABRUZZO	CHIETI	CHIC80700E	"I.C. FOSSACESIA ""P.D.POLLIDORI"""	http://www.icfossacesia.gov.it	chic80700e@pec.istruzione.it		
ABRUZZO	CHIETI	CHIC80800A	"I.C. LANCIANO  ""G. D'ANNUNZIO"""	www.dannunziolanciano.edu.it	chic80800a@pec.istruzione.it	https://www.dannunziolanciano.edu.it/2021/03/01/avviso-famiglie-devices-e-account-gsuite/	
ABRUZZO	CHIETI	CHIC809006	"I.C.  PAGLIETA ""B. CROCE"""	www.icpaglieta.edu.it	chic809006@pec.istruzione.it	5 alt2.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIC81000A	I.C. RIPA TEATINA M.BUONARROTI	www.icripatorrevecchia.edu.it	chic81000a@pec.istruzione.it	5 alt1.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIC811006	I.C. G.GALILEI - S.GIOV.TEATINO	istitutocomprensivosgt.edu.it	chic811006@pec.istruzione.it	10 alt3.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIC812002	I.C. S.VITO CHIET.G.D'ANNUNZIO	www.icsanvito.edu.it	chic812002@pec.istruzione.it	1 aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIC81300T	"I.C.  TOLLO  ""N. NICOLINI"""	www.istitutocomprensivotollo.edu.it	chic81300t@pec.istruzione.it	10 alt3.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIC81400N	I.C.  CASTEL FRENTANO	www.iccastelfrentano.edu.it	chic81400n@pec.istruzione.it	1 aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIC816009	I.C. CASTIGLIONE M.M.-CARUNCHIO	www.iccastiglionemm.edu.it	chic816009@pec.istruzione.it	5 alt1.aspmx.l.google.com.	
ABRUZZO	CHIETI	CHIC817005	"I.C. ""P.BORRELLI""  TORNARECCIO"	www.ictornareccio.edu.it	chic817005@pec.istruzione.it	5 alt2.aspmx.l.google.com.	
